"V2" "V3" "V4"
"HMEL015464g1" 1413 8581 9124
"HMEL015320g1" 1 2 4
"HMEL013204g1" 644 2321 2116
"HMEL002291g1" 102 418 443
"HMEL038222g1" 0 0 0
"HMEL031563g1" 91 337 357
"HMEL030267g1" 0 0 0
"HMEL030123g1" 0 1 2
"HMEL016760g2" 3 55 35
"HMEL011930" 1559 5563 4388
"HMEL009767g1" 14 129 90
"HMEL009623g1" 846 2664 2514
"HMEL008327g1" 113 526 418
"HMEL002964g1" 211 2444 903
"HMEL032912g1" 0 0 0
"HMEL031616g1" 0 1 1
"HMEL012073g1" 232 1138 1093
"HMEL009767g2" 61 428 198
"HMEL008327g2" 1 19 27
"HMEL036271g1" 376 1892 2035
"HMEL008327g3" 71 202 170
"HMEL012602g1" 237 1148 909
"HMEL011306g1" 1 5 7
"HMEL006232g1" 3134 8279 5873
"HMEL006376g1" 10 27 17
"HMEL037764g1" 0 1 4
"HMEL037620g1" 1 0 0
"HMEL036468g1" 290 2788 3032
"HMEL036324g1" 228 827 1134
"HMEL035028g1" 0 0 0
"HMEL030961g1" 4 0 0
"HMEL006376g2" 347 1385 434
"HMEL007869g1" 83 341 328
"HMEL007725g1" 110 395 360
"HMEL006429g1" 47 398 409
"HMEL037817g1" 0 0 0
"HMEL011471g1" 595 2288 1966
"HMEL010175g1" 183 617 603
"HMEL034373g1" 0 0 0
"HMEL033077g1" 0 0 0
"HMEL017507g1" 56 156 76
"HMEL012964g1" 3 1 8
"HMEL005630g1" 6 21 23
"HMEL005774g1" 4 5 15
"HMEL004334g1" 678 1948 1564
"HMEL004478g1" 53 280 595
"HMEL006450g1" 397 1655 1551
"HMEL006594g1" 32 60 117
"HMEL035866g1" 5 22 48
"HMEL035722g1" 3 1 3
"HMEL034426g1" 2 14 1
"HMEL035919g1" 1 12 8
"HMEL017672g1" 193 996 705
"HMEL016376g1" 25 93 102
"HMEL014116g1" 24 100 93
"HMEL033771g1" 0 0 0
"HMEL032475g1" 0 0 0
"HMEL032331g1" 266 1590 1247
"HMEL031179g1" 1 1 0
"HMEL031035g1" 10 72 31
"HMEL016905g1" 40 168 132
"HMEL005992g1" 473 2735 2340
"HmGr25_1" 0 1 0
"HMEL033968g1" 0 2 0
"HMEL033824g1" 150 669 667
"HMEL032528g1" 1 0 0
"HMEL026014g1" 4089 18123 12240
"HMEL020651g1" 0 0 0
"HMEL016905g2" 0 2 1
"HMEL037183g1" 41 185 176
"HMEL030380g1" 14 50 13
"HMEL016905g3" 152 473 390
"HMEL003929g1" 143 622 537
"HMEL015774g1" 342 1073 990
"HMEL015630g1" 98 617 810
"HMEL013658g1" 3 9 1
"HMEL013514g1" 84 497 527
"HMEL037236g1" 137 541 618
"HMEL031873g1" 0 0 3
